macro,pid,slope_ratio,midpoint_drift_g,both_within10
Carbs,1,-0.07834101382488447,-2.516129032258033,False
Carbs,2,3.015624999999998,52.60937499999997,False
Carbs,3,0.6991869918699183,-21.569105691056908,False
Carbs,4,0.826923076923077,-15.121794871794874,False
Carbs,5,-0.021739130434782653,-7.152173913043491,False
Carbs,6,-2.0285714285714294,2.9999999999999365,False
Carbs,8,0.07476635514018697,12.953271028037395,False
Carbs,9,0.0464527027027027,-10.269425675675675,False
Carbs,10,0.42196531791907516,5.0982658959537694,False
Carbs,14,0.2924836601307185,23.573529411764707,False
Carbs,17,1.0120192307692308,-4.290865384615385,False
Carbs,27,-2.0571428571428583,-43.200000000000045,False
Carbs,31,1.6923076923076912,-0.45230769230769374,False
Carbs,32,-0.36069114470842323,-17.144708423326133,False
Carbs,33,1.059280855199223,-1.2448979591836897,False
Carbs,34,0.24048096192384774,-27.312625250501004,False
Carbs,35,0.12086659064994294,33.5952109464082,False
Carbs,36,2.795013850415511,49.09695290858725,False
Carbs,38,0.6776859504132227,-1.8396694214875973,False
Carbs,39,1.037456445993031,-7.920731707317077,False
Carbs,41,0.5568598679383711,-19.967718268525314,False
Carbs,42,-0.22239031770045395,-28.91074130105901,False
Carbs,43,0.39639639639639634,-18.540540540540544,False
Carbs,44,5.325842696629209,145.11235955056176,False
Carbs,45,1.2416666666666671,-30.09999999999998,False
Carbs,49,0.09210526315789462,-15.577302631578942,False
